localEastWest,localNorthSouth,tvd,doglegSeverity
-823.43,7528.54,8348.54,2.0435
-823.59,7623.54,8348.29,0.5263
-821.79,7717.51,8348.61,2.562
-817.36,7811.41,8348.70,1.0036
-812.52,7905.28,8348.70,0.5319
-807.36,7999.14,8348.70,0.8577
-800.55,8092.88,8347.55,1.7447
-794.00,8186.64,8347.47,2.9806
-787.28,8280.39,8348.78,2.0183
-780.39,8374.13,8348.94,1.903
-776.08,8469.03,8348.94,1.7987
-773.62,8562.99,8350.34,1.3329
-772.48,8656.97,8351.24,2.0982
-771.32,8751.95,8349.58,1.8109
-769.59,8845.91,8347.37,0.8102
-769.27,8939.90,8347.37,2.5971
-769.76,9034.89,8348.61,0.674
-769.76,9128.87,8350.17,0.9808
-769.60,9223.82,8353.32,1.0526
-769.10,9318.75,8356.97,0.5952
-768.27,9413.67,8360.78,0.6316
-767.12,9507.57,8364.96,0.4382
-765.49,9601.46,8369.22,0.3007
-764.75,9695.41,8371.77,2.8103
-764.75,9790.41,8372.43,0.421
-763.68,9884.40,8372.43,1.281
-763.76,9979.39,8373.09,2.9491
-765.49,10073.35,8375.31,0.4513
-767.19,10166.28,8378.39,0.9186
-768.60,10261.22,8381.29,1.3723
-767.45,10355.20,8381.05,3.8429
-764.83,10449.13,8378.42,0.6726
-762.78,10543.06,8375.55,0.1504
-761.46,10637.01,8373.01,1.0033
-758.92,10730.95,8370.79,2.4484
-754.41,10824.81,8368.50,0.1064
-749.50,10918.66,8366.36,0.4757
-743.76,11012.46,8364.48,0.647
-736.71,11106.18,8362.43,1.1104
-729.67,11199.90,8361.69,2.2841
-723.19,11293.67,8363.00,0.7136
-718.35,11387.53,8364.23,2.5574
-715.89,11481.49,8365.38,0.9027
-714.57,11576.45,8367.78,1.2674
-713.75,11670.37,8371.47,0.7744
-712.76,11764.33,8373.94,2.3404
-711.04,11840.30,8373.34,2.8976
-707.73,11935.21,8370.77,0.5263
-704.69,12029.12,8368.06,0.4513
-702.23,12123.06,8365.85,0.5318
-700.18,12217.03,8364.45,0.7522
-698.44,12312.01,8364.29,0.8994
-695.98,12405.98,8364.53,1.3159
-692.21,12499.90,8364.70,0.4758
-688.85,12593.84,8365.35,1.0477
-685.53,12688.77,8364.61,2.3655
-681.60,12782.67,8362.56,0.5319
-677.99,12876.59,8361.57,0.9515
-674.38,12970.51,8360.42,1.1458
-670.94,13064.44,8358.87,0.8308
-668.03,13159.39,8357.95,0.3329
-665.66,13253.36,8357.54,0.6203
-663.28,13347.33,8357.63,0.6203
-659.91,13441.26,8357.95,0.7447
-655.98,13535.18,8358.94,0.8511
-653.04,13601.10,8360.21,0.5462
-650.41,13657.02,8361.38,0
